zip,city,state_id
6390,Fishers Island,NY
10001,New York,NY
10002,New York,NY
10003,New York,NY
10004,New York,NY
10005,New York,NY
10006,New York,NY
10007,New York,NY
10009,New York,NY
10010,New York,NY
10011,New York,NY
10012,New York,NY
10013,New York,NY
10014,New York,NY
10016,New York,NY
10017,New York,NY
10018,New York,NY
10019,New York,NY
10020,New York,NY
10021,New York,NY
10022,New York,NY
10023,New York,NY
10024,New York,NY
10025,New York,NY
10026,New York,NY
10027,New York,NY
10028,New York,NY
10029,New York,NY
10030,New York,NY
10031,New York,NY
10032,New York,NY
10033,New York,NY
10034,New York,NY
10035,New York,NY
10036,New York,NY
10037,New York,NY
10038,New York,NY
10039,New York,NY
10040,New York,NY
10044,New York,NY
10065,New York,NY
10069,New York,NY
10075,New York,NY
10103,New York,NY
10110,New York,NY
10111,New York,NY
10112,New York,NY
10115,New York,NY
10119,New York,NY
10128,New York,NY
10152,New York,NY
10153,New York,NY
10154,New York,NY
10162,New York,NY
10165,New York,NY
10167,New York,NY
10168,New York,NY
10169,New York,NY
10170,New York,NY
10171,New York,NY
10172,New York,NY
10173,New York,NY
10174,New York,NY
10177,New York,NY
10199,New York,NY
10271,New York,NY
10278,New York,NY
10279,New York,NY
10280,New York,NY
10282,New York,NY
10301,Staten Island,NY
10302,Staten Island,NY
10303,Staten Island,NY
10304,Staten Island,NY
10305,Staten Island,NY
10306,Staten Island,NY
10307,Staten Island,NY
10308,Staten Island,NY
10309,Staten Island,NY
10310,Staten Island,NY
10311,Staten Island,NY
10312,Staten Island,NY
10314,Staten Island,NY
10451,Bronx,NY
10452,Bronx,NY
10453,Bronx,NY
10454,Bronx,NY
10455,Bronx,NY
10456,Bronx,NY
10457,Bronx,NY
10458,Bronx,NY
10459,Bronx,NY
10460,Bronx,NY
10461,Bronx,NY
10462,Bronx,NY
10463,Bronx,NY
10464,Bronx,NY
10465,Bronx,NY
10466,Bronx,NY
10467,Bronx,NY
10468,Bronx,NY
10469,Bronx,NY
10470,Bronx,NY
10471,Bronx,NY
10472,Bronx,NY
10473,Bronx,NY
10474,Bronx,NY
10475,Bronx,NY
10501,Amawalk,NY
10502,Ardsley,NY
10503,Ardsley On Hudson,NY
10504,Armonk,NY
10505,Baldwin Place,NY
10506,Bedford,NY
10507,Bedford Hills,NY
10509,Brewster,NY
10510,Briarcliff Manor,NY
10511,Buchanan,NY
10512,Carmel,NY
10514,Chappaqua,NY
10516,Cold Spring,NY
10517,Crompond,NY
10518,Cross River,NY
10519,Croton Falls,NY
10520,Croton On Hudson,NY
10522,Dobbs Ferry,NY
10523,Elmsford,NY
10524,Garrison,NY
10526,Goldens Bridge,NY
10527,Granite Springs,NY
10528,Harrison,NY
10530,Hartsdale,NY
10532,Hawthorne,NY
10533,Irvington,NY
10535,Jefferson Valley,NY
10536,Katonah,NY
10537,Lake Peekskill,NY
10538,Larchmont,NY
10541,Mahopac,NY
10543,Mamaroneck,NY
10545,Maryknoll,NY
10546,Millwood,NY
10547,Mohegan Lake,NY
10548,Montrose,NY
10549,Mount Kisco,NY
10550,Mount Vernon,NY
10552,Mount Vernon,NY
10553,Mount Vernon,NY
10560,North Salem,NY
10562,Ossining,NY
10566,Peekskill,NY
10567,Cortlandt Manor,NY
10570,Pleasantville,NY
10573,Port Chester,NY
10576,Pound Ridge,NY
10577,Purchase,NY
10578,Purdys,NY
10579,Putnam Valley,NY
10580,Rye,NY
10583,Scarsdale,NY
10588,Shrub Oak,NY
10589,Somers,NY
10590,South Salem,NY
10591,Tarrytown,NY
10594,Thornwood,NY
10595,Valhalla,NY
10596,Verplanck,NY
10597,Waccabuc,NY
10598,Yorktown Heights,NY
10601,White Plains,NY
10603,White Plains,NY
10604,West Harrison,NY
10605,White Plains,NY
10606,White Plains,NY
10607,White Plains,NY
10701,Yonkers,NY
10703,Yonkers,NY
10704,Yonkers,NY
10705,Yonkers,NY
10706,Hastings On Hudson,NY
10707,Tuckahoe,NY
10708,Bronxville,NY
10709,Eastchester,NY
10710,Yonkers,NY
10801,New Rochelle,NY
10803,Pelham,NY
10804,New Rochelle,NY
10805,New Rochelle,NY
10901,Suffern,NY
10910,Arden,NY
10911,Bear Mountain,NY
10913,Blauvelt,NY
10914,Blooming Grove,NY
10915,Bullville,NY
10916,Campbell Hall,NY
10917,Central Valley,NY
10918,Chester,NY
10919,Circleville,NY
10920,Congers,NY
10921,Florida,NY
10922,Fort Montgomery,NY
10923,Garnerville,NY
10924,Goshen,NY
10925,Greenwood Lake,NY
10926,Harriman,NY
10927,Haverstraw,NY
10928,Highland Falls,NY
10930,Highland Mills,NY
10931,Hillburn,NY
10932,Howells,NY
10933,Johnson,NY
10940,Middletown,NY
10941,Middletown,NY
10950,Monroe,NY
10952,Monsey,NY
10953,Mountainville,NY
10954,Nanuet,NY
10956,New City,NY
10958,New Hampton,NY
10960,Nyack,NY
10962,Orangeburg,NY
10963,Otisville,NY
10964,Palisades,NY
10965,Pearl River,NY
10968,Piermont,NY
10969,Pine Island,NY
10970,Pomona,NY
10973,Slate Hill,NY
10974,Sloatsburg,NY
10975,Southfields,NY
10976,Sparkill,NY
10977,Spring Valley,NY
10979,Sterling Forest,NY
10980,Stony Point,NY
10983,Tappan,NY
10984,Thiells,NY
10985,Thompson Ridge,NY
10986,Tomkins Cove,NY
10987,Tuxedo Park,NY
10988,Unionville,NY
10989,Valley Cottage,NY
10990,Warwick,NY
10992,Washingtonville,NY
10993,West Haverstraw,NY
10994,West Nyack,NY
10996,West Point,NY
10998,Westtown,NY
11001,Floral Park,NY
11003,Elmont,NY
11004,Glen Oaks,NY
11005,Floral Park,NY
11010,Franklin Square,NY
11020,Great Neck,NY
11021,Great Neck,NY
11023,Great Neck,NY
11024,Great Neck,NY
11030,Manhasset,NY
11040,New Hyde Park,NY
11042,New Hyde Park,NY
11050,Port Washington,NY
11096,Inwood,NY
11101,Long Island City,NY
11102,Astoria,NY
11103,Astoria,NY
11104,Sunnyside,NY
11105,Astoria,NY
11106,Astoria,NY
11109,Long Island City,NY
11201,Brooklyn,NY
11203,Brooklyn,NY
11204,Brooklyn,NY
11205,Brooklyn,NY
11206,Brooklyn,NY
11207,Brooklyn,NY
11208,Brooklyn,NY
11209,Brooklyn,NY
11210,Brooklyn,NY
11211,Brooklyn,NY
11212,Brooklyn,NY
11213,Brooklyn,NY
11214,Brooklyn,NY
11215,Brooklyn,NY
11216,Brooklyn,NY
11217,Brooklyn,NY
11218,Brooklyn,NY
11219,Brooklyn,NY
11220,Brooklyn,NY
11221,Brooklyn,NY
11222,Brooklyn,NY
11223,Brooklyn,NY
11224,Brooklyn,NY
11225,Brooklyn,NY
11226,Brooklyn,NY
11228,Brooklyn,NY
11229,Brooklyn,NY
11230,Brooklyn,NY
11231,Brooklyn,NY
11232,Brooklyn,NY
11233,Brooklyn,NY
11234,Brooklyn,NY
11235,Brooklyn,NY
11236,Brooklyn,NY
11237,Brooklyn,NY
11238,Brooklyn,NY
11239,Brooklyn,NY
11351,Flushing,NY
11354,Flushing,NY
11355,Flushing,NY
11356,College Point,NY
11357,Whitestone,NY
11358,Flushing,NY
11359,Bayside,NY
11360,Bayside,NY
11361,Bayside,NY
11362,Little Neck,NY
11363,Little Neck,NY
11364,Oakland Gardens,NY
11365,Fresh Meadows,NY
11366,Fresh Meadows,NY
11367,Flushing,NY
11368,Corona,NY
11369,East Elmhurst,NY
11370,East Elmhurst,NY
11371,Flushing,NY
11372,Jackson Heights,NY
11373,Elmhurst,NY
11374,Rego Park,NY
11375,Forest Hills,NY
11377,Woodside,NY
11378,Maspeth,NY
11379,Middle Village,NY
11385,Ridgewood,NY
11411,Cambria Heights,NY
11412,Saint Albans,NY
11413,Springfield Gardens,NY
11414,Howard Beach,NY
11415,Kew Gardens,NY
11416,Ozone Park,NY
11417,Ozone Park,NY
11418,Richmond Hill,NY
11419,South Richmond Hill,NY
11420,South Ozone Park,NY
11421,Woodhaven,NY
11422,Rosedale,NY
11423,Hollis,NY
11424,Jamaica,NY
11425,Jamaica,NY
11426,Bellerose,NY
11427,Queens Village,NY
11428,Queens Village,NY
11429,Queens Village,NY
11430,Jamaica,NY
11432,Jamaica,NY
11433,Jamaica,NY
11434,Jamaica,NY
11435,Jamaica,NY
11436,Jamaica,NY
11451,Jamaica,NY
11501,Mineola,NY
11507,Albertson,NY
11509,Atlantic Beach,NY
11510,Baldwin,NY
11514,Carle Place,NY
11516,Cedarhurst,NY
11518,East Rockaway,NY
11520,Freeport,NY
11530,Garden City,NY
11542,Glen Cove,NY
11545,Glen Head,NY
11547,Glenwood Landing,NY
11548,Greenvale,NY
11549,Hempstead,NY
11550,Hempstead,NY
11552,West Hempstead,NY
11553,Uniondale,NY
11554,East Meadow,NY
11556,Uniondale,NY
11557,Hewlett,NY
11558,Island Park,NY
11559,Lawrence,NY
11560,Locust Valley,NY
11561,Long Beach,NY
11563,Lynbrook,NY
11565,Malverne,NY
11566,Merrick,NY
11568,Old Westbury,NY
11569,Point Lookout,NY
11570,Rockville Centre,NY
11572,Oceanside,NY
11575,Roosevelt,NY
11576,Roslyn,NY
11577,Roslyn Heights,NY
11579,Sea Cliff,NY
11580,Valley Stream,NY
11581,Valley Stream,NY
11590,Westbury,NY
11596,Williston Park,NY
11598,Woodmere,NY
11691,Far Rockaway,NY
11692,Arverne,NY
